기간	자치구	주택종류별	합계	2019년	2018년	2017년	2016년	2015년	2014년	2013년	2012년	2011년	2010년	2005~2009년	2000~2004년	1990~1999년	1980~1989년	1979년 이전
2019	서대문구	아파트	50,747	X	4,446	869	314	5,323	455	248	3,588	716	538	4,566	10,341	15,313	2,684	1,346
2019	서대문구	연립주택	5,477	X	X	X	X	X	27	59	54	X	32	244	959	2,398	1,351	349
2019	서대문구	다세대주택	27,489	751	788	893	1,176	1,074	1,494	1,374	1,106	868	301	1,759	6,481	6,400	2,330	694
2019	서대문구	비거주용 건물내 주택	945	10	16	X	9	7	8	X	8	19	11	24	52	309	216	250
2019	마포구	계	119,298	1,868	1,380	1,820	3,421	3,576	6,823	2,045	3,015	3,395	4,872	14,507	27,892	28,565	10,780	5,339
2019	마포구	단독주택	11,854	42	60	78	59	57	58	31	30	53	49	285	689	4,984	1,474	3,905
2019	마포구	아파트	68,111	1,076	594	543	2,053	2,390	5,605	274	796	1,631	3,778	10,786	19,614	13,872	4,699	400
2019	마포구	연립주택	3,165	X	X	X	99	24	X	27	69	25	X	67	158	1,464	951	281
2019	마포구	다세대주택	34,577	716	681	1,161	1,164	1,084	1,143	1,695	2,094	1,666	1,034	3,305	7,272	7,623	3,376	563
2019	마포구	비거주용 건물내 주택	1,591	34	45	38	46	21	17	18	26	20	11	64	159	622	280	190
2019	양천구	계	139,938	2,174	1,511	1,483	4,170	2,254	2,887	1,484	2,375	4,725	1,695	10,707	31,859	29,688	41,601	1,325
2019	양천구	단독주택	7,818	12	33	33	18	24	13	20	24	41	27	133	310	3,893	2,129	1,108
2019	양천구	아파트	87,387	1,332	184	125	1,735	597	1,168	191	552	3,100	721	7,938	22,814	16,210	30,720	X
2019	양천구	연립주택	4,144	X	24	38	20	23	115	113	65	16	22	72	118	1,591	1,850	77
2019	양천구	다세대주택	39,730	828	1,259	1,282	2,388	1,609	1,585	1,156	1,731	1,552	920	2,532	8,535	7,700	6,586	67
2019	양천구	비거주용 건물내 주택	859	X	11	5	9	X	6	X	X	16	5	32	82	294	316	73
2019	강서구	계	193,551	3,134	3,158	5,131	6,295	6,350	9,913	3,789	4,205	2,883	2,355	24,507	40,031	70,557	8,860	2,383
2019	강서구	단독주택	10,456	53	72	62	43	34	24	23	32	62	72	252	716	4,462	2,655	1,894
2019	강서구	아파트	113,076	1,201	689	2,160	2,157	3,074	7,295	1,862	956	330	469	19,053	17,766	54,102	1,734	228
2019	강서구	연립주택	4,853	22	95	X	X	X	141	98	103	20	X	218	177	1,856	2,047	76
2019	강서구	다세대주택	64,018	1,853	2,295	2,903	4,090	3,241	2,438	1,803	3,109	2,457	1,807	4,936	21,272	9,656	2,112	46
2019	강서구	비거주용 건물내 주택	1,148	5	7	6	5	X	15	X	5	14	7	48	100	481	312	139
2019	구로구	계	129,693	4,937	3,568	2,416	2,333	2,214	3,869	2,186	2,255	5,788	1,859	8,777	28,465	37,350	19,115	4,561
2019	구로구	단독주택	11,692	48	56	35	27	14	15	10	25	11	13	93	272	5,015	3,193	2,865
2019	구로구	아파트	81,131	3,698	1,910	693	270	702	2,596	935	822	4,700	1,437	7,348	21,280	24,290	9,808	642
2019	구로구	연립주택	7,399	56	28	X	117	48	29	103	111	32	100	69	296	1,641	4,572	197
2019	구로구	다세대주택	28,622	1,127	1,562	1,679	1,910	1,444	1,225	1,134	1,286	1,036	302	1,230	6,566	6,165	1,264	692
2019	구로구	비거주용 건물내 주택	849	8	12	9	9	6	X	X	11	9	7	37	51	239	278	165
2019	금천구	계	67,012	1,665	3,112	2,573	3,899	1,367	3,994	1,463	1,567	874	314	2,188	16,982	14,733	10,006	2,275
2019	금천구	단독주택	9,011	35	59	77	41	25	27	24	18	13	25	76	198	3,103	3,513	1,777
2019	금천구	아파트	30,996	71	1,551	292	1,792	X	2,117	317	240	246	X	1,072	11,636	8,104	3,479	79
2019	금천구	연립주택	3,913	29	44	X	30	37	26	28	25	X	12	8	352	1,123	2,164	35
2019	금천구	다세대주택	22,548	1,520	1,445	2,195	2,031	1,296	1,819	1,093	1,274	603	266	1,000	4,766	2,288	692	260
2019	금천구	비거주용 건물내 주택	544	10	13	9	5	9	5	X	10	12	11	32	30	115	158	124
2019	영등포구	계	101,603	1,526	1,728	5,084	1,677	2,743	2,253	2,357	1,999	1,070	994	6,265	19,658	26,720	14,557	12,972
2019	영등포구	단독주택	14,378	39	117	134	108	71	50	39	61	54	44	122	343	6,073	3,369	3,754
2019	영등포구	아파트	69,946	689	560	3,771	370	1,345	1,669	1,475	1,199	363	602	5,342	16,350	18,179	9,461	8,571
2019	영등포구	연립주택	1,502	28	X	X	X	X	X	52	36	X	17	36	199	282	650	202
2019	영등포구	다세대주택	14,595	754	1,022	1,157	1,188	1,310	521	784	687	623	313	734	2,729	1,906	722	145
2019	영등포구	비거주용 건물내 주택	1,182	16	29	22	11	17	13	7	16	30	18	31	37	280	355	300
2019	동작구	계	115,075	840	4,513	1,818	3,927	2,501	2,305	3,819	5,785	2,628	2,332	8,700	24,753	36,196	9,871	5,087
2019	동작구	단독주택	14,661	79	218	185	140	87	77	75	93	103	122	327	525	5,352	2,905	4,373
2019	동작구	아파트	61,596	22	3,285	74	1,665	299	312	2,014	3,876	1,706	1,791	5,597	16,190	21,150	3,436	179
2019	동작구	연립주택	5,161	49	56	X	X	19	X	X	82	16	X	231	636	2,946	906	220
2019	동작구	다세대주택	32,557	678	920	1,545	2,112	2,082	1,901	1,721	1,711	775	399	2,490	7,313	6,429	2,396	85
2019	동작구	비거주용 건물내 주택	1,100	12	34	14	10	14	15	9	23	28	20	55	89	319	228	230
2019	관악구	계	126,526	1,893	2,031	2,310	3,267	2,972	3,221	3,036	2,912	1,120	1,051	13,896	34,521	37,585	9,999	6,712
2019	관악구	단독주택	21,510	135	383	424	351	217	168	146	195	171	187	911	1,189	8,211	3,678	5,144
2019	관악구	아파트	54,355	747	171	68	445	328	797	850	870	170	505	11,085	23,273	12,538	1,847	661
2019	관악구	연립주택	6,438	24	X	X	31	80	32	98	12	X	7	100	517	4,055	1,424	58
2019	관악구	다세대주택	42,253	962	1,398	1,793	2,410	2,330	2,209	1,912	1,795	709	280	1,624	9,225	12,264	2,729	613
2019	관악구	비거주용 건물내 주택	1,970	25	79	25	30	17	15	30	40	70	72	176	317	517	321	236
2019	서초구	계	131,777	1,741	5,127	2,753	5,117	3,258	4,733	6,311	3,365	2,315	2,634	16,803	25,339	22,018	19,555	10,708
2019	서초구	단독주택	6,331	30	50	49	47	28	27	19	35	28	26	179	468	2,237	1,931	1,177
2019	서초구	아파트	92,106	814	3,900	1,149	2,911	1,866	3,730	5,131	2,004	1,193	2,184	14,983	17,783	11,587	13,551	9,320
2019	서초구	연립주택	5,489	60	16	10	X	19	32	28	38	139	10	85	225	3,232	1,517	74
2019	서초구	다세대주택	26,531	825	1,145	1,533	2,136	1,328	934	1,123	1,279	943	408	1,513	6,684	4,440	2,175	65
2019	서초구	비거주용 건물내 주택	1,320	12	16	12	19	17	10	10	9	12	6	43	179	522	381	72
2019	강남구	계	170,444	3,937	2,667	1,965	3,215	4,810	6,842	4,691	3,260	4,080	1,123	19,102	33,311	40,731	31,864	8,846
2019	강남구	단독주택	7,196	28	41	92	187	47	32	19	29	34	29	115	1,148	3,261	1,767	367
2019	강남구	아파트	122,664	2,827	1,506	499	1,040	3,858	6,192	2,793	1,561	3,081	515	17,474	16,301	30,689	25,902	8,426
2019	강남구	연립주택	5,919	16	12	8	199	8	74	98	278	46	X	132	1,160	2,457	1,422	9
2019	강남구	다세대주택	32,872	1,041	1,074	1,336	1,758	877	519	1,762	1,377	907	566	1,262	14,406	3,548	2,422	17
2019	강남구	비거주용 건물내 주택	1,793	25	34	30	31	20	25	19	15	12	13	119	296	776	351	27
2019	송파구	계	208,692	2,648	13,554	7,731	6,480	4,088	2,330	5,873	4,054	4,642	1,835	41,025	34,780	35,448	36,352	7,852
2019	송파구	단독주택	8,255	14	16	25	31	16	8	12	14	10	13	66	400	3,684	3,513	433
2019	송파구	아파트	125,800	296	10,859	4,547	2,858	1,280	92	3,349	812	2,065	288	34,893	9,681	19,380	28,032	7,368
2019	송파구	연립주택	4,899	147	39	17	15	X	24	77	117	104	X	70	198	3,101	978	12
2019	송파구	다세대주택	68,133	2,181	2,635	3,128	3,563	2,783	2,205	2,430	3,108	2,454	1,532	5,948	24,357	8,630	3,169	10
2019	송파구	비거주용 건물내 주택	1,605	10	5	14	13	9	X	5	X	9	X	48	144	653	660	29
2019	강동구	계	123,014	7,172	3,138	3,604	8,363	3,358	2,151	2,250	2,742	5,996	1,827	17,364	22,748	21,200	20,127	974
2019	강동구	단독주택	10,220	48	64	53	41	24	32	26	34	41	33	151	397	3,968	4,511	797
2019	강동구	아파트	73,505	4,765	997	1,307	4,434	655	699	571	753	4,733	1,044	14,703	14,881	12,244	11,719	X
2019	강동구	연립주택	3,165	X	34	X	X	X	29	11	X	X	15	93	74	1,882	1,000	27
2019	강동구	다세대주택	35,001	2,344	2,029	2,235	3,879	2,673	1,383	1,638	1,946	1,214	725	2,373	7,299	2,776	2,410	77
2019	강동구	비거주용 건물내 주택	1,123	15	14	9	9	6	8	X	9	8	10	44	97	330	487	73
