랭킹,채널명,카테고리,구독자수(단위:만),조회수(단위:만)
243,SBS Catch,엔터테인먼트,138,124758
244,급식왕,기획,136,128198
245,신의한수,정치,133,10270
246,EBSCulture (EBS 교양),엔터테인먼트,133,102255
247,딩고 스토리 / dingo story,드라마,132,27506
248,lamuqe,뷰티,132,11174
249,정선호,일상,132,43978
250,Daily Busking,음악,131,51248
251,FNCEnt,엔터테인먼트,131,25719
252,박막례 할머니 Korea Grandma,기획,130,33374
253,KBS 한국방송,엔터테인먼트,130,121429
254,산적TV 밥굽남,먹방,129,22187
255,국가비 GabieKook,푸드,128,0
256,KBS Drama Classic,엔터테인먼트,128,114658
257,Lemoring,음악,128,52747
258,조효진 HYOJIN,뷰티,127,12945
259,탱구TV,일상,127,4216
260,FoodieBoy 푸디보이,푸드,127,47373
261,악어 유튜브,게임,126,127094
262,턱형 (GOD-TUK),음악,126,41535
263,꽈뚜룹,기획,126,27456
264,JAYKEEOUT x VWVB,기획,125,15187
265,지무비 : G Movie,리뷰,124,37419
266,MKTV 김미경TV,지식,124,21321
267,Shoot for Love 슛포러브,스포츠,124,59068
268,강형욱의 보듬TV - Dog Trainer Kang,펫,124,21317
269,Mera,모음,123,106988
270,스윗더미 . Sweet The MI,푸드,122,11485
271,사물궁이 잡학지식,지식,121,16019
272,헬로카봇 - hello carbot official,키즈,121,102295
273,KBS HUMAN: 뭉클티비,프로그램,121,53639
274,동네놈들,기획,120,22821
275,피키픽처스 Piki Pictures,엔터테인먼트,120,42100
276,수상한녀석들,기획,120,23375
277,DICKHUNTER딕헌터????,먹방,120,26349
278,다또아Daddoa,뷰티,119,8931
279,재넌Jaenune,일상,118,53315
280,회사원A,뷰티,118,35400
281,Lia Kim,일상,118,5828
282,애주가TV참PD,먹방,117,46425
283,사람사는세상노무현재단,정치,117,1789
284,신사임당,경제,117,11659
285,고몽,리뷰,117,45582
286,승우아빠,푸드,117,23468
287,Yoora Jung,일상,117,8367
288,디스커버리 서바이벌 - Discovery Surviva…,엔터테인먼트,117,25596
289,캐릭온 TV,게임,115,127959
290,진성호방송,정치,114,86716
291,SBS 뉴스,시사,113,174
292,테스터훈 TesterHoon,게임,113,64754
293,GENIE MUSIC,엔터테인먼트,113,36358
294,Liah Yoo,외국인,113,7794
295,디글 클래식 :Diggle Classic,엔터테인먼트,112,225708
296,성수커플 - S.S Couple,일상,112,3392
297,핫도그TV,기획,111,6820
298,휘트니 whitney bae,외국인,111,27325
299,파뿌리,먹방,110,72985
300,세바시 강연 Sebasi Talk,지식,110,21720
301,우왁굳의 게임방송,게임,110,75487
302,섭이는못말려,기획,110,44120
303,신세경 sjkuksee,일상,110,3648
304,UPVOTE Entertainment,엔터테인먼트,109,24730
305,맛있는 녀석들 (Tasty Guys),프로그램,108,107827
306,빅마블,기획,107,1315
307,릴카,일상,107,31500
308,Sibongtv 시봉tv,일상,107,5985
309,Korean Unnie 한국언니,Korean,107,4380
310,Tooniverse-투니버스,키즈,106,75531
311,얌무YAMMoo,먹방,106,18728
312,소근커플 S.K.Couple,일상,106,33546
313,츄팝,취미,106,45583
314,채널A 뉴스,시사,105,116017
315,김시선,리뷰,105,31534
316,마이린 TV,키즈,105,64358
317,유라야놀자(Let's play YURA),키즈,105,118110
318,깨비키즈 [KEBIKIDS],키즈,105,111230
319,임영웅,음악,105,51948
320,야식이,먹방,104,33889
321,KBS News,시사,104,117780
322,오킹TV,기획,103,3624
323,써니채널 Sunny's Channel,뷰티,103,8990
324,공부의신 강성태,지식,103,23602
325,ondo온도,일상,103,9781
326,킴성태TV,게임,102,57988
327,(MUTUBE)와꾸대장봉준,기획,102,71134
328,유정호tv,일상,102,2793
329,MOVE Dance Studio 무브댄스학원,댄스,102,19740
330,겜브링 GGAM BRING,게임,102,101568
331,SOF,푸드,102,35173
332,rappeler하쁠리,ASMR,102,36846
333,Talk To Me In Korean,Korean,102,5051
334,Tido Kang,음악,102,15709
335,문명특급 - MMTG,엔터테인먼트,101,15201
336,MBCNEWS,시사,101,174049
337,HANA 김하나,일상,101,32643
338,효기심,지식,101,11815
339,코이티비KOITV,일상,100,51633
340,딩고 / dingo,엔터테인먼트,99,31047
341,TBS 시민의방송,시사,98,65673
342,쁘허,게임,97,3910
343,기리TV,게임,97,84885
344,슈카월드,경제,97,12862
345,haha ha,펫,97,27362
346,아내의 식탁 Wife's Cuisine,푸드,96,6790
347,테드TV,게임,96,72850
348,영알남YAN,일상,95,29010
349,텔론,게임,95,75489
350,법륜스님의 즉문즉설,종교,95,6378
351,유병재,기획,94,127
352,마재TV,게임,94,56666
353,비디오머그 - VIDEOMUG,시사,94,142193
354,놀면 뭐하니?,프로그램,94,24225
355,TV램램,게임,94,66850
356,윤쨔미 YoonCharmi,뷰티,94,22647
357,혜안,게임,93,24639
358,양띵의 사생활,일상,93,48251
359,유준호,취미,93,36136
360,밍꼬발랄Mingggo,기획,92,96397
361,SUPER SOUND Bugs!,엔터테인먼트,92,57111
362,드림텔러(DreamTeller),리뷰,92,4973
363,남순 NS,기획,91,78113
364,김이브님 [kim eve],일상,91,62563
365,띠미 ddimmi,기획,91,29698
366,오분순삭,모음,91,7382
367,KBS CoolFM,엔터테인먼트,91,45434
368,코너Korner,기획,91,47521
369,이슈텔러 issueTeller,지식,90,35913
370,제이제이살롱드핏,헬스,90,14111
