ID,y,x,benz 매장수,BMW 매장수,VW 매장수,포르쉐 매장수,BENZ 매장수,합계
진도,24,0,0.0,0.0,0.0,0.0,0.0,0.0
함평,20,1,0.0,0.0,0.0,0.0,0.0,0.0
해남,23,0,0.0,0.0,0.0,0.0,0.0,0.0
화순,21,4,0.0,0.0,0.0,0.0,0.0,0.0
고창,18,1,0.0,0.0,0.0,0.0,0.0,0.0
군산,16,2,0.0,0.0,0.0,0.0,0.0,0.0
김제,17,3,0.0,0.0,0.0,0.0,0.0,0.0
남원,18,5,0.0,0.0,0.0,0.0,0.0,0.0
전주 덕진,18,3,0.0,0.0,0.0,0.0,0.0,0.0
무주,16,5,0.0,0.0,0.0,0.0,0.0,0.0
부안,17,2,0.0,0.0,0.0,0.0,0.0,0.0
순창,20,3,0.0,0.0,0.0,0.0,0.0,0.0
전주 완산,19,3,0.0,0.0,0.0,0.0,0.0,0.0
완주,17,4,0.0,0.0,0.0,0.0,0.0,0.0
익산,16,3,0.0,0.0,0.0,0.0,0.0,0.0
임실,19,4,0.0,0.0,0.0,0.0,0.0,0.0
장수,17,5,0.0,0.0,0.0,0.0,0.0,0.0
정읍,18,2,0.0,0.0,0.0,0.0,0.0,0.0
진안,18,4,0.0,0.0,0.0,0.0,0.0,0.0
서귀포,26,5,0.0,0.0,0.0,0.0,0.0,0.0
제주,25,5,0.0,0.0,0.0,0.0,0.0,0.0
계룡,14,4,0.0,0.0,0.0,0.0,0.0,0.0
공주,12,4,0.0,0.0,0.0,0.0,0.0,0.0
금산,15,3,0.0,0.0,0.0,0.0,0.0,0.0
논산,14,3,0.0,0.0,0.0,0.0,0.0,0.0
당진,12,1,0.0,0.0,0.0,0.0,0.0,0.0
천안 동남,11,2,0.0,0.0,0.0,0.0,0.0,0.0
보령,13,2,0.0,0.0,0.0,0.0,0.0,0.0
부여,14,2,0.0,0.0,0.0,0.0,0.0,0.0
천안 서북,11,3,0.0,0.0,0.0,0.0,0.0,0.0
서산,13,1,0.0,0.0,0.0,0.0,0.0,0.0
서천,15,2,0.0,0.0,0.0,0.0,0.0,0.0
아산,11,1,0.0,0.0,0.0,0.0,0.0,0.0
예산,12,3,0.0,0.0,0.0,0.0,0.0,0.0
청양,13,3,0.0,0.0,0.0,0.0,0.0,0.0
태안,11,0,0.0,0.0,0.0,0.0,0.0,0.0
홍성,12,2,0.0,0.0,0.0,0.0,0.0,0.0
괴산,12,8,0.0,0.0,0.0,0.0,0.0,0.0
단양,11,7,0.0,0.0,0.0,0.0,0.0,0.0
보은,13,8,0.0,0.0,0.0,0.0,0.0,0.0
청주 상당,14,6,0.0,0.0,0.0,0.0,0.0,0.0
청주 서원,14,7,0.0,0.0,0.0,0.0,0.0,0.0
영동,15,7,0.0,0.0,0.0,0.0,0.0,0.0
옥천,15,6,0.0,0.0,0.0,0.0,0.0,0.0
음성,11,5,0.0,0.0,0.0,0.0,0.0,0.0
제천,10,7,0.0,0.0,0.0,0.0,0.0,0.0
증평,13,6,0.0,0.0,0.0,0.0,0.0,0.0
진천,12,5,0.0,0.0,0.0,0.0,0.0,0.0
청주 청원,13,7,0.0,0.0,0.0,0.0,0.0,0.0
충주,12,6,0.0,0.0,0.0,0.0,0.0,0.0
청주 흥덕,12,7,0.0,0.0,0.0,0.0,0.0,0.0
