,광역시도,시도,20~39세남자,20~39세여자,20~39세합계,65세이상남자,65세이상여자,65세이상합계,인구수남자,인구수여자,인구수합계,소멸비율,소멸위기지역
20,경기, 광명시,39648,39850,79498,16971,22061,39032,146975,153760,300735,2.0419143267062925,False
21,경기, 광주시,48965,46955,95920,20397,23095,43492,177168,173238,350406,2.1592476777338363,False
22,경기, 구리시,24794,25537,50331,10527,13158,23685,91954,95671,187625,2.1563858982478363,False
23,경기, 군포시,36221,35603,71824,14067,17674,31741,128228,132895,261123,2.2433445701143633,False
24,경기, 김포시,52409,55346,107755,22095,27011,49106,203616,206800,410416,2.2541440964444264,False
25,경기, 남양주시,77365,81508,158873,38743,48114,86857,324619,333791,658410,1.8768320342632143,False
26,경기, 동두천시,10289,9706,19995,6964,9571,16535,43473,44316,87789,1.1739945570003023,False
27,경기, 부천시,112609,112536,225145,43543,53839,97382,388300,401532,789832,2.311227947670001,False
28,경기, 시흥시,68532,62272,130804,16991,21357,38348,232951,218215,451166,3.247731302805883,False
29,경기, 안성시,22884,20391,43275,12554,15817,28371,88473,85550,174023,1.4374537379718726,False
30,경기, 양주시,24905,24354,49259,13728,16683,30411,103990,103744,207734,1.6016572950577095,False
31,경기, 양평군,9537,9046,18583,11886,13827,25713,52233,52823,105056,0.703612958425699,True
32,경기, 여주시,11327,10328,21655,9549,11375,20924,51516,50560,102076,0.9871917415408143,True
33,경기, 연천군,4787,3506,8293,4433,5661,10094,20488,19189,39677,0.6946701010501288,True
34,경기, 오산시,34598,31630,66228,8445,10626,19071,110191,105448,215639,3.3170782864034396,False
35,경기, 의왕시,20472,19807,40279,8887,10660,19547,74450,76223,150673,2.0266025477055303,False
36,경기, 의정부시,55301,56859,112160,26376,34295,60671,207441,217658,425099,1.8743386461406604,False
37,경기, 이천시,27619,25107,52726,12167,15028,27195,101752,98618,200370,1.846442360728075,False
38,경기, 파주시,54844,53801,108645,24174,31654,55828,209760,210828,420588,1.9273841083327363,False
39,경기, 평택시,70429,62961,133390,24412,32002,56414,243253,233776,477029,2.2321055057255292,False
40,경기, 포천시,16032,13697,29729,11053,13573,24626,70116,65663,135779,1.1124015268415497,False
41,경기, 하남시,35572,36174,71746,14734,16565,31299,126779,127749,254528,2.3115115498897727,False
42,경기, 화성시,117606,111668,229274,28692,35356,64048,393408,375548,768956,3.4870097426929805,False
43,경기,권선구,55300,53806,109106,16391,20577,36968,178020,178658,356678,2.910950010820169,False
44,경기,기흥구,50802,53670,104472,22190,27515,49705,200436,208177,408613,2.159541293632431,False
45,경기,단원구,44022,40558,84580,12082,15019,27101,148143,144023,292166,2.993099885613077,False
46,경기,덕양구,57317,58376,115693,25963,34398,60361,212696,221800,434496,1.934229055184639,False
47,경기,동안구,41297,42071,83368,14801,18908,33709,148374,156802,305176,2.496128630336112,False
